name,latitude,longitude
Phrase-Based &amp; Neural Unsupervised Machine Translation,-35.2778,149.1205
CTRL: A Conditional Transformer Language Model for Controllable Generation,25.016,121.536
Cluster-based retrieval using language models,47.374535,8.55097
Prosody-based automatic segmentation of speech into sentences and topics,37.22001,-80.42409
A Critical Review of Recurrent Neural Networks for Sequence Learning,31.822645,117.2807
Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,51.046764,3.727875
Automatic speech recognition and speech variability: A review,59.93957,10.719175
Strategies for training large scale neural network language models,45.505554,-73.61548
"Document Language Models, Query Models, and Risk Minimization for Information Retrieval",29.711039,-95.39631
Advances in Pre-Training Distributed Word Representations,48.15068,11.580272
Knowledge Enhanced Contextual Word Representations,36.67361,117.05389
From Feedforward to Recurrent LSTM Neural Networks for Language Modeling,30.63016,104.09001
A Comparative Study on Transformer vs RNN in Speech Applications,53.406116,-2.965604
Twitter brand sentiment analysis: A hybrid system using n-gram analysis and dynamic artificial neural network,32.05611,118.775
USING A STATISTICAL LANGUAGE MODEL TO IMPROVE THE PERFORMANCE OF AN HMM-BASED CURSIVE HANDWRITING RECOGNITION SYSTEM,45.4222,-75.6824
Unified Vision-Language Pre-Training for Image Captioning and VQA,52.002792,4.370898
VisualBERT: A Simple and Performant Baseline for Vision and Language,40.44332,-79.94358
Multilingual Denoising Pre-training for Neural Machine Translation,-30.032438,-51.219315
A maximum entropy approach to identifying sentence boundaries,56.16816,10.20298
Topic and Role Discovery in Social Networks with Experiments on Enron and Academic Email,34.138577,-118.125496
Fully Character-Level Neural Machine Translation without Explicit Segmentation,-22.953331,-43.17429
Unsupervised Cross-lingual Representation Learning at Scale.,43.00984,-81.27376
How Multilingual is Multilingual BERT?,41.875305,-87.6579
Deep Captioning with Multimodal Recurrent Neural Networks (m-RNN),53.219444,6.562966
Pointer Sentinel Mixture Models,43.472534,-80.544876
The SPHINX-II speech recognition system: an overview,38.03099,-84.504486
Deep code search,31.281977,121.506195
Large Language Models in Machine Translation,23.0962,113.29806
Transfer Learning in Biomedical Natural Language Processing: An Evaluation of BERT and ELMo on Ten Benchmarking Datasets,48.141293,11.581925
Enriching Word Vectors with Subword Information,30.536316,114.36431
Efficient Neural Architecture Search via Parameter Sharing,25.71694,-80.27577
Commonsense Knowledge Aware Conversation Generation with Graph Attention,46.51908,6.566747
Character-Aware Neural Language Models,33.500675,-86.805824
Retrieval models for question and answer archives,39.111362,117.17482
Probabilistic Top-Down Parsing and Language Modeling,40.447872,-3.72863
Neural Belief Tracker: Data-Driven Dialogue State Tracking,48.213055,16.359722
Unicoder-VL: A Universal Encoder for Vision and Language by Cross-Modal Pre-Training,40.007366,-105.26526
Regularizing and Optimizing LSTM Language Models,50.78027,6.065655
Contextual Augmentation: Data Augmentation by Words with Paradigmatic Relations,31.794842,35.24138
Maximum entropy models for natural language ambiguity resolution,-31.980915,115.81988
From Complexity to Perplexity,50.73389,7.102222
The Goldilocks Principle: Reading Children's Books with Explicit Memory Representations,43.82497,125.28978
Passage Re-ranking with BERT,-34.593235,-58.39507
Generating Wikipedia by Summarizing Long Sequences,49.59788,11.004508
Neural Text Generation from Structured Data with Application to the Biography Domain,42.648064,-73.74959
DiSAN: Directional Self-Attention Network for RNN/CNN-Free Language Understanding,39.28636,-76.59014
ERNIE 2.0: A Continual Pre-Training Framework for Language Understanding,41.50028,2.107778
Edinburgh System Description for the 2005 IWSLT Speech Translation Evaluation,54.978,-1.615
Scalable Modified Kneser-Ney Language Model Estimation,41.384144,-81.71841
Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,44.02407,-92.46631
Very deep convolutional networks for end-to-end speech recognition,28.173,112.925
The Microsoft 2017 Conversational Speech Recognition System,-34.920654,138.60576
On the Cross-lingual Transferability of Monolingual Representations,43.129425,-77.62188
End-to-End Dense Video Captioning with Masked Transformer,48.525,9.059
What BERT Is Not: Lessons from a New Suite of Psycholinguistic Diagnostics for Language Models,52.52667,13.379722
Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,42.35936,-83.06657
Pre-Training With Whole Word Masking for Chinese BERT,40.84722,14.256944
Scaling Laws for Neural Language Models,36.11143,140.10384
Dissecting Contextual Word Embeddings: Architecture and Representation,39.98,116.340836
"Personal Projects Analysis: Trivial Pursuits, Magnificent Obsessions, and the Search for Coherence",38.93918,-92.331856
Character N-Gram Tokenization for European Language Text Retrieval,39.132023,-84.51555
Exposure-based models of human parsing: Evidence for the use of coarse-grained (nonlexical) statistical records,34.414227,-119.84912
ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,40.789085,-73.95311
Immediate-head parsing for language models,52.22143,21.014345
Sentence Encoders on STILTs: Supplementary Training on Intermediate Labeled-data Tasks,23.151306,113.34464
NeuroML: A Language for Describing Data Driven Models of Neurons and Networks with a High Degree of Biological Detail,35.875557,-106.324165
ScispaCy: Fast and Robust Models for Biomedical Natural Language Processing,52.45273,13.289647
Structured language modeling,-36.852303,174.76773
One billion word benchmark for measuring progress in statistical language modeling,46.95052,7.438109
Pay Less Attention with Lightweight and Dynamic Convolutions,32.055927,118.79425
On the State of the Art of Evaluation in Neural Language Models,41.8262,-71.4032
Automatic speech recognition : the development of the SPHINX system,41.807167,-72.2525
Silences and secrecy: The hidden agenda of cartography in early modern Europe,43.77788,11.259733
Improved statistical machine translation using paraphrases,-19.871904,-43.966248
The rise and fall of the biopsychosocial model,51.81901,5.856999
Models of Translational Equivalence among Words,37.875443,-122.24554
Neural Symbolic Machines: Learning Semantic Parsers on Freebase with Weak Supervision,57.698345,11.971846
CodeBERT: A Pre-Trained Model for Programming and Natural Languages,52.379436,-1.561502
Statistical language model adaptation: review and perspectives,47.99375,7.845918
K-BERT: Enabling Language Representation with Knowledge Graph,51.541,9.937379
Learning author-topic models from text corpora,35.95593,-83.930145
Offline recognition of unconstrained handwritten texts using HMMs and statistical language models,43.71643,10.398687
Multimodal Neural Language Models,50.0884,14.4037
CamemBERT: a Tasty French Language Model,34.24364,108.91378
langid.py: An Off-the-shelf Language Identification Tool,45.066666,7.689019
Spoken language understanding using long short-term memory neural networks,46.781097,-71.278175
Forest Rescoring: Faster Decoding with Integrated Language Models,35.933334,-84.316666
TransferTransfo: A Transfer Learning Approach for Neural Network Based Conversational Agents,41.895832,12.462636
Combining the language model and inference network approaches to retrieval,40.914223,-73.11623
HMM based online handwriting recognition,35.64954,139.74307
Discriminative models for information retrieval,41.844097,-71.43472
Reading level assessment using support vector machines and statistical language models,30.675713,104.10027
Placing flickr photos on a map,28.054562,-82.413055
A language model approach to keyphrase extraction,52.15669,4.485037
Probabilistic text structuring,38.753227,-9.156779
TINA: a natural language system for spoken language applications,51.02947,13.728975
ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,32.7775,35.021667
Early diagenesis of organic matter in marine sediments: progress and perplexity,37.588223,126.99361
<i>N</i>-gram-based Machine Translation,40.57368,-105.086555
Regularizing and Optimizing LSTM Language Models,49.01185,8.416644
Malware classification with recurrent networks,39.95778,116.308334
Time-based language models,45.499397,-122.685905
Sequence Level Training with Recurrent Neural Networks,55.785797,12.521533
Fine-tuned Language Models for Text Classification.,36.00348,-78.935814
12-in-1: Multi-Task Vision and Language Representation Learning,51.52428,-0.040395
Towards a Human-like Open-Domain Chatbot,50.928055,6.928611
Deep Cocktail Network: Multi-source Unsupervised Domain Adaptation with Category Shift,40.764194,-73.9561
BLOG: probabilistic models with unknown objects,44.225502,-76.49516
Generating Sentences from a Continuous Space,50.1249,8.667763
The microsoft 2016 conversational speech recognition system,35.70347,51.3952
Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,39.479465,-0.364728
BERTweet: A pre-trained language model for English Tweets,51.963425,7.613398
Is it time to leave behind the Revised Hierarchical Model of bilingual language processing after fifteen years of service?,51.4877,-3.179
Modeling word burstiness using the Dirichlet distribution,41.146465,-8.615786
A Thousand Frames in Just a Few Words: Lingual Description of Videos through Latent Topics and Sparse Object Stitching,38.874443,121.53361
How Much Knowledge Can You Pack Into the Parameters of a Language Model?,43.001106,-78.78897
Improved Training of End-to-end Attention Models for Speech Recognition,37.968266,23.778343
Generating Sentences by Editing Prototypes,49.806892,-97.13834
A tree-based statistical language model for natural language speech recognition,-34.599724,-58.373055
Pooled Contextualized Embeddings for Named Entity Recognition,38.899975,-77.048645
Monolingual Machine Translation for Paraphrase Generation,42.389004,-72.52671
MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices,36.369644,127.36401
Deep Belief Networks using discriminative features for phone recognition,32.812183,-96.84017
Dependence language model for information retrieval,46.199657,6.145095
Reviewing automatic language identification,51.445854,7.261598
Gram-positive and Gram-negative protein subcellular localization by incorporating evolutionary-based descriptors into Chou?s general PseAAC,29.560259,106.45419
Detection of Online Fake News Using N-Gram Analysis and Machine Learning Techniques,42.40983,-71.12194
A spelling correction program based on a noisy channel model,39.004326,-77.10119
A hierarchical Dirichlet language model,34.38222,132.45805
Neural Architecture Optimization,30.413998,-91.18103
Domain-Specific Language Model Pretraining for Biomedical Natural Language Processing,44.563995,-123.279465
Long Short-Term Memory Based Recurrent Neural Network Architectures for Large Vocabulary Speech Recognition,-33.44332,-70.65058
Improving automatic source code summarization via deep reinforcement learning,59.34748,18.073526
Achieving Human Parity in Conversational Speech Recognition,52.517845,13.393355
Augmenting Naive Bayes Classifiers with Statistical Language Models,63.419445,10.4025
"GA, MR, FFNN, PNN and GMM based models for automatic text summarization",41.709167,-87.981995
Unsupervised Pretraining for Sequence to Sequence Learning,-33.9575,18.460556
Word Sense Disambiguation: A Unified Evaluation Framework and Empirical Comparison,48.863808,2.329205
N-Gram Similarity and Distance,59.365276,18.058332
CEDR,38.996944,-76.848335
Towards Better Decoding and Language Model Integration in Sequence to Sequence Models,24.723982,46.64584
QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension,43.293537,5.357944
Ethics and Perplexity,37.186577,-3.599948
Automated Phrase Mining from Massive Text Corpora,60.79644,11.063399
Making Monolingual Sentence Embeddings Multilingual using Knowledge Distillation,52.333942,4.865709
Are deep neural networks the best choice for modeling source code?,-35.27627,149.14612
WinoGrande: An Adversarial Winograd Schema Challenge at Scale,38.954586,-95.25585
Q-BERT: Hessian Based Ultra Low Precision Quantization of BERT,52.511944,13.326389
A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model,45.478863,9.228206
Recurrent neural networks for language understanding,30.0276,31.21014
BERT for Coreference Resolution: Baselines and Analysis,30.442247,-84.29918
Adaptive Statistical Language Modeling; A Maximum Entropy Approach,38.8885,-77.02999
Temporal Action Detection Using a Statistical Language Model,22.336422,114.17299
Machine Comprehension Using Match-LSTM and Answer Pointer,44.636833,-63.591686
Revisiting Pre-Trained Models for Chinese Natural Language Processing,40.824093,-96.700645
Headline generation based on statistical translation,39.982258,-75.154594
A neural probabilistic language model,40.63,22.958055
Bayesian unsupervised word segmentation with nested Pitman-Yor language modeling,46.732166,-117.15444
Reducing Gender Bias in Abusive Language Detection,46.343224,-119.27634
Combining Language and Vision with a Multimodal Skip-gram Model,35.69966,139.74298
Temporal Analysis of Language through Neural Language Models,40.852177,-73.84439
Learning Differentially Private Recurrent Language Models,35.748272,51.38122
Deeper Text Understanding for IR with Contextual Neural Language Modeling,39.021835,-77.1563
Big Bird: Transformers for Longer Sequences,51.915684,4.525846
n-Gram Statistics for Natural Language Understanding and Text Processing,37.590477,127.02679
Pivot language approach for phrase-based statistical machine translation,48.697758,2.175969
End-to-End Open-Domain Question Answering with,-27.60111,-48.52
Semi-supervised Multitask Learning for Sequence Labeling,-27.476833,153.0284
Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections,33.9975,-81.025276
Adversarial Examples for Evaluating Reading Comprehension Systems,24.437328,118.1003
Conformer: Convolution-augmented Transformer for Speech Recognition,29.720201,-95.34225
Leveraging Pre-trained Checkpoints for Sequence Generation Tasks,49.788055,9.935278
Entropy-based Pruning of Backoff Language Models,36.06024,140.1331
Comparative Study of CNN and RNN for Natural Language Processing,39.957222,116.3625
REALM: Retrieval-Augmented Language Model Pre-Training.,35.08389,-106.61861
Adaptive Importance Sampling to Accelerate Training of a Neural Probabilistic Language Model,52.621323,-1.124664
Sockeye: A Toolkit for Neural Machine Translation.,40.5453,-3.69611
Controlling Linguistic Style Aspects in Neural Language Generation,31.262192,34.80151
On Faithfulness and Factuality in Abstractive Summarization,45.810673,15.970097
ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,50.060833,19.932777
Word Embedding based Generalized Language Model for Information Retrieval,34.201694,-118.17167
Distributional Semantics Resources for Biomedical Text Processing,39.103928,117.17413
Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,52.240276,21.019167
Improving Accuracy in Word Class Tagging through the Combination of Machine Learning Systems,50.737343,-3.535159
Character-based Neural Machine Translation,51.984753,5.665749
Neurophysiological dynamics of phrase-structure building during sentence processing,39.67911,-75.75217
MaskGAN: Better Text Generation via Filling in the______,39.287724,-76.62358
Target-Dependent Sentiment Classification With BERT,53.566944,9.983889
A statistical semantic language model for source code,39.865433,116.35284
Distilling Task-Specific Knowledge from BERT into Simple Neural Networks,50.669613,4.612264
Explain Yourself! Leveraging Language Models for Commonsense Reasoning,34.728058,135.23473
Cross-lingual Language Model Pretraining,52.133717,-106.632385
Detecting unknown malicious code by applying classification techniques on OpCode patterns,47.55858,7.5836
Passage retrieval based on language models,49.992584,8.241212
Neural Natural Language Inference Models Enhanced with External Knowledge,33.975555,-117.33111
A comparative study of methods for estimating query language models with pseudo feedback,48.781666,9.175278
MLQA: Evaluating Cross-lingual Extractive Question Answering,44.40292,8.958889
Purification of gram quantities of C60. A new inexpensive and facile method,50.810833,8.773611
Semantics-Aware BERT for Language Understanding,54.76518,-1.578224
Improved variational autoencoders for text modeling using dilated convolutions,23,120.21667
Multilingual Denoising Pre-training for Neural Machine Translation,54.584595,-5.93406
Q8BERT: Quantized 8Bit BERT,53.307213,-6.222682
Person Search with Natural Language Description,-26.190832,28.030277
AutoPrompt: Eliciting Knowledge from Language Models with Automatically Generated Prompts,41.70578,-86.23568
A heuristic approach to determine an appropriate number of topics in topic modeling,34.816025,113.53577
Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity.,34.689857,133.92143
Improving the estimation of relevance models using large external corpora,57.165062,-2.102298
A Neural Probabilistic Language Model,50.845833,5.687222
"End-to-End Concept Word Detection for Video Captioning, Retrieval, and Question Answering",51.44861,5.49071
Discriminative n-gram language modeling,39.74327,-105.00311
Unsupervised Text Style Transfer using Language Models as Discriminators,33.948273,-83.37734
Algorithms for bigram and trigram word clustering,51.339,12.379
Two-stage language models for information retrieval,60.388084,5.322872
Well-Read Students Learn Better: On the Importance of Pre-training Compact Models,53.9457,-1.056188
Speaking the Same Language: Matching Machine to Human Captions by Adversarial Training,38.94762,-77.36789
Multilingual Language Processing From Bytes,-45.864895,170.51468
Plug and Play Language Models: A Simple Approach to Controlled Text Generation,37.38108,-5.991016
A Term Weighted Neural Language Model and Stacked Bidirectional LSTM Based Framework for Sarcasm Identification,13.021275,77.565765
Jointly Modeling Deep Video and Compositional Text to Bridge Vision and Language in a Unified Framework,45.186592,9.155566
Image Captioning with Deep Bidirectional LSTMs,3.120833,101.65639
e-SNLI: Natural Language Inference with Natural Language Explanations,33.65895,-111.95396
Character-Level Language Modeling with Deeper Self-Attention,-25.428888,-49.2675
VinVL: Revisiting Visual Representations in Vision-Language Models,50.81352,4.381621
A survey on the application of recurrent neural networks to statistical language modeling,44.808956,-0.590216
On the Sentence Embeddings from Pre-trained Language Models,-27.47061,153.02286
Adaptive Input Representations for Neural Language Modeling,57.68833,11.976667
RWTH ASR Systems for LibriSpeech: Hybrid vs Attention,50.8232,4.392588
oLMpics-On What Language Model Pre-training Captures,35.62882,140.10349
Decoding with Large-Scale Neural Language Models Improves Translation,43.533413,-80.22727
Probability scoring for spelling correction,41.85015,12.597991
Scene Text Recognition Using Similarity and a Lexicon with Sparse Belief Propagation,54.345806,10.112299
The Woman Worked as a Babysitter: On Biases in Language Generation,31.318333,121.38722
A machine learning approach to reading level assessment,37.55747,127.04531
Hidden Topic Markov Models,35.20861,-97.44583
Rapid Adaptation of Neural Machine Translation to New Languages,22.336182,114.26512
A statistical model for scientific readability,32.036007,118.813805
"How to (Properly) Evaluate Cross-Lingual Word Embeddings: On Strong Baselines, Comparative Analyses, and Some Misconceptions",4.635556,-74.08278
Trigger-based language models: a maximum entropy approach,39.170864,-86.51937
It＊s Not Just Size That Matters: Small Language Models Are Also Few-Shot Learners,-33.775257,151.11292
Discriminative Reranking for Machine Translation,39.990517,116.357086
From Exemplar to Grammar: A Probabilistic Analogy-Based Model of Language Learning,51.52111,-0.128889
On the Practical Computational Power of Finite Precision RNNs for Language Recognition,-15.763153,-47.870632
Efficient Content-Based Sparse Attention with Routing Transformers,49.278282,-122.91991
Using topic models for Twitter hashtag recommendation,44.81844,20.457422
Modeling long distance dependence in language: topic mixtures versus dynamic cache models,37.548782,-77.45394
Using Suffix Arrays to Compute Term Frequency and Document Frequency for All Substrings in a Corpus,35.7092,139.71933
Incorporating Structural Alignment Biases into an Attentional Neural Translation Model,28.180279,112.95278
Automatic language identification using deep neural networks,39.13559,-77.21574
A fast and simple algorithm for training neural probabilistic language models,43.335556,-2.978333
An Introduction to Computational Networks and the Computational Network Toolkit,24.79586,120.984764
A Character-Level Decoder without Explicit Segmentation for Neural Machine Translation,-33.883274,151.20045
Reducing Transformer Depth on Demand with Structured Dropout,46.521095,6.580157
Web-based models for natural language processing,40.750767,-73.97374
BERT for Joint Intent Classification and Slot Filling,-37.849358,145.11272
KEPLER: A Unified Model for Knowledge Embedding and Pre-trained Language Representation,58.39806,15.574119
Acoustic modeling for large vocabulary speech recognition,31.30919,120.641335
RNNLM - Recurrent Neural Network Language Modeling Toolkit,29.939493,-90.12228
Word-level Deep Sign Language Recognition from Video: A New Large-scale Dataset and Methods Comparison,42.33754,-71.10551
Super-human multi-talker speech recognition: A graphical modeling approach,51.44083,-0.942503
Text mining and probabilistic language modeling for online review spam detection,51.22273,4.40843
The Curious Case of Neural Text Degeneration,-25.75451,28.231192
Probabilistic Models for Expert Finding,48.22,16.351389
Mining Revision Log of Language Learning SNS for Automated Japanese Error Correction of Second Language Learners,36.13012,-80.28146
Statistical syntax-directed translation with extended domain of locality,-23.59162,-46.649025
Unsupervised query segmentation using generative language models and wikipedia,63.821568,20.310623
Counterfactual Samples Synthesizing for Robust Visual Question Answering,28.234095,113.01198
Integrating word relationships into language models,28.6016,-81.2005
Testing the correlation of word error rate and perplexity,-32.00593,115.894394
Areas of Attention for Image Captioning,31.9075,34.809166
A Fast and Simple Algorithm for Training Neural Probabilistic Language Models,48.198883,16.368452
Continuous time dynamic topic models,60.4563,22.285112
Perplexity〞a measure of the difficulty of speech recognition tasks,51.91,4.4675
Scalable topical phrase mining from text corpora,43.77367,-79.50189
Table-to-Text Generation by Structure-Aware Seq2seq Learning,52.08861,5.179722
Analyzing the Structure of Attention in a Transformer Language Model,48.423363,9.953214
A Streaming On-Device End-To-End Model Surpassing Server-Side Conventional Model Quality and Latency,59.352222,18.032223
MAD-X: An Adapter-Based Framework for Multi-Task Cross-Lingual Transfer,39.63582,-79.95453
Domain adaptation for statistical machine translation with monolingual resources,37.689255,-121.71715
